name,price,category,sub_cat,third_level,description,img
  בלוק בגודל  20/20 סמ 100% כותנה כבישה חמה 300 גרם magnani portofino,61.8,נייר לאמנות,בלוקי נייר,בלוקי נייר לצבעי מים,1404-portofino-watercolour-block--300gsm-140lb-20-sheets-hot,"https://static.wixstatic.com/media/733145_467d938beda746ae828397524e7ec09d~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg"
 בלוק בגודל  15/15 סמ 100% כותנה כבישה חמה 300 גרם magnani portofino,34,נייר לאמנות,בלוקי נייר,בלוקי נייר לצבעי מים,1404-portofino-watercolour-block--300gsm-140lb-20-sheets-hot,"https://static.wixstatic.com/media/733145_465d6fa1e5734b4d9fe0ac44e19b69da~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg"
בלוק בגודל  15/40 סמ 100% כותנה כבישה חמה 300 גרם magnani portofino,84,נייר לאמנות,בלוקי נייר,בלוקי נייר לצבעי מים,1404-portofino-watercolour-block-26-x-36cm-10-x-14in-300gsm-140lb-20-sheets-hot,"https://static.wixstatic.com/media/733145_6ca31656eb8f4558a8f367971f2d9eee~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg"
נוזל לצביעת בדים טבעיים RIT ירוק כהה,25.9,צבעים להובי,צבע דיו אלכוהולי,כללי,"צבע נוזלי לצביעת בדים טבעיים עם עד 30 אחוז סינטטי.Perfect For:Cotton, Linen, Silk, Wool, Ramie, Rayon, Viscose, Nylon, Modal, Tulle, Wood, Paper, Cork, Hem","https://static.wixstatic.com/media/733145_66dc6ef4ff6b432cab163c19f8a9fe15~mv2.webp/v1/fit/w_500,h_500,q_90/file.webp"
